,subject,task,domain,response_rate,percent_lottery,percent_risk,percent_ambiguity,conf_1,conf_2,conf_3,conf_4,negLL,gamma,beta,alpha,at_bound,LL,LL0,AIC,BIC,R2,softmax_accuracy,softmax_range,fig_fn
41,p0041,CRDM,gain,1.0,0.6071428571428571,0.37142857142857144,1.0,112,0,0,0,45.6442474876761,8.0,-4.167,1.105785104130383,1,-45.6442474876761,-77.63248422271387,97.2884949753522,100.72549271794239,0.41204705807518893,0.7589285714285714,0.5915901983775086,p0041/crdm/p0041_crdm_gain_model_fit.eps
42,p0042,CRDM,gain,1.0,0.6071428571428571,0.37142857142857144,1.0,112,0,0,0,44.99877176082007,8.0,-4.167,1.1141017649219311,1,-44.99877176082007,-77.63248422271387,95.99754352164014,99.43454126423033,0.4203615637015228,0.7589285714285714,0.592699084872462,p0042/crdm/p0042_crdm_gain_model_fit.eps
43,p0043,CRDM,gain,1.0,0.625,0.4,1.0,112,0,0,0,43.41804418634933,8.0,-4.167,1.133488087261578,1,-43.41804418634933,-77.63248422271387,92.83608837269865,96.27308611528885,0.4407232407790709,0.7678571428571429,0.5953291111492973,p0043/crdm/p0043_crdm_gain_model_fit.eps
44,p0044,CRDM,gain,1.0,0.6160714285714286,0.38571428571428573,1.0,112,0,0,0,43.627107859733975,8.0,-4.167,1.1341689533696802,1,-43.627107859733975,-77.63248422271387,93.25421571946795,96.69121346205814,0.43803024859315953,0.7589285714285714,0.5954226620346558,p0044/crdm/p0044_crdm_gain_model_fit.eps
45,p0045,CRDM,gain,1.0,0.6785714285714286,0.5,0.9761904761904762,112,0,0,0,49.657331789057736,8.0,-4.167,1.0697075564879457,1,-49.657331789057736,-77.63248422271387,105.31466357811547,108.75166132070567,0.3603536936084689,0.7589285714285714,0.5869014400075079,p0045/crdm/p0045_crdm_gain_model_fit.eps
46,p0046,CRDM,gain,1.0,0.6339285714285714,0.4142857142857143,1.0,112,0,0,0,47.4131318291495,8.0,-4.167,1.0781558953327386,1,-47.4131318291495,-77.63248422271387,100.826263658299,104.26326140088919,0.3892616949738513,0.8035714285714286,0.5879832316671769,p0046/crdm/p0046_crdm_gain_model_fit.eps
47,p0047,CRDM,gain,1.0,0.6428571428571429,0.42857142857142855,1.0,112,0,0,0,43.68521720636792,8.0,-4.167,1.131559681316988,1,-43.68521720636792,-77.63248422271387,93.37043441273585,96.80743215532604,0.4372817301447838,0.7946428571428571,0.5950645899919366,p0047/crdm/p0047_crdm_gain_model_fit.eps
48,p0048,CRDM,gain,1.0,0.625,0.4,1.0,112,0,0,0,43.356690051730844,8.0,-4.167,1.1360602152241266,1,-43.356690051730844,-77.63248422271387,92.71338010346169,96.15037784605188,0.44151355600900044,0.7678571428571429,0.5956829492739719,p0048/crdm/p0048_crdm_gain_model_fit.eps
49,p0049,CRDM,gain,1.0,0.6160714285714286,0.38571428571428573,1.0,112,0,0,0,44.12995082676384,8.0,-4.167,1.1251849682725055,1,-44.12995082676384,-77.63248422271387,94.25990165352768,97.69689939611787,0.4315530248888749,0.7678571428571429,0.5941947774319762,p0049/crdm/p0049_crdm_gain_model_fit.eps
50,p0050,CRDM,gain,1.0,0.8214285714285714,0.7142857142857143,1.0,112,0,0,0,23.233519757055014,8.0,-4.167,1.484098253597455,1,-23.233519757055014,-77.63248422271387,52.46703951411003,55.904037256700214,0.7007242523580444,0.9017857142857143,0.655692262338957,p0050/crdm/p0050_crdm_gain_model_fit.eps
51,p0051,CRDM,gain,1.0,0.8125,0.7,1.0,112,0,0,0,20.862112747985897,8.0,-4.167,1.5286572808323209,1,-20.862112747985897,-77.63248422271387,47.724225495971794,51.16122323856198,0.731270833892985,0.8928571428571429,0.6652706171905645,p0051/crdm/p0051_crdm_gain_model_fit.eps
52,p0052,CRDM,gain,1.0,0.8303571428571429,0.7285714285714285,1.0,112,0,0,0,19.339162514178312,8.0,-4.167,1.5606451409705855,1,-19.339162514178312,-77.63248422271388,44.678325028356625,48.11532277094681,0.750888269159368,0.9107142857142857,0.6724255319012529,p0052/crdm/p0052_crdm_gain_model_fit.eps
53,p0053,CRDM,gain,1.0,0.8303571428571429,0.7285714285714285,1.0,112,0,0,0,19.339162514178305,8.0,-4.167,1.5606451410704099,1,-19.339162514178305,-77.63248422271388,44.67832502835661,48.1153227709468,0.7508882691593681,0.9107142857142857,0.6724255319239447,p0053/crdm/p0053_crdm_gain_model_fit.eps
54,p0054,CRDM,gain,1.0,0.8214285714285714,0.7142857142857143,1.0,112,0,0,0,19.79954323763509,8.0,-4.167,1.5515853173464558,1,-19.79954323763509,-77.63248422271387,45.59908647527018,49.03608421786036,0.7449580103499753,0.9017857142857143,0.670375410405314,p0054/crdm/p0054_crdm_gain_model_fit.eps
55,p0055,CRDM,gain,1.0,0.8303571428571429,0.7285714285714285,1.0,112,0,0,0,20.707715395624177,8.0,-4.167,1.5427175660215242,1,-20.707715395624177,-77.63248422271388,47.415430791248355,50.85242853383854,0.7332596579517229,0.9107142857142857,0.6683868524169106,p0055/crdm/p0055_crdm_gain_model_fit.eps
56,p0056,CRDM,gain,1.0,0.8214285714285714,0.7142857142857143,1.0,112,0,0,0,20.591203838745606,8.0,-4.167,1.53449805882349,1,-20.591203838745606,-77.63248422271387,47.18240767749121,50.6194054200814,0.7347604672848922,0.9017857142857143,0.6665596607858864,p0056/crdm/p0056_crdm_gain_model_fit.eps
57,p0057,CRDM,gain,1.0,0.8303571428571429,0.7285714285714285,1.0,112,0,0,0,19.339162514178305,8.0,-4.167,1.5606451402395929,1,-19.339162514178305,-77.63248422271388,44.67832502835661,48.1153227709468,0.7508882691593681,0.9107142857142857,0.6724255317350851,p0057/crdm/p0057_crdm_gain_model_fit.eps
58,p0058,CRDM,gain,1.0,0.8214285714285714,0.7142857142857143,1.0,112,0,0,0,19.79954323763509,8.0,-4.167,1.5515853159842585,1,-19.79954323763509,-77.63248422271387,45.59908647527018,49.03608421786036,0.7449580103499753,0.9017857142857143,0.670375410098471,p0058/crdm/p0058_crdm_gain_model_fit.eps
59,p0059,CRDM,gain,1.0,0.8392857142857143,0.7428571428571429,1.0,112,0,0,0,18.844578434773148,8.0,-4.167,1.5717292227709416,1,-18.844578434773148,-77.63248422271388,43.689156869546295,47.12615461213648,0.7572591084331222,0.9196428571428571,0.6749591096755128,p0059/crdm/p0059_crdm_gain_model_fit.eps
60,p0060,CRDM,gain,1.0,0.8571428571428571,0.7714285714285715,1.0,112,0,0,0,16.621724676831402,8.0,-4.167,1.6314838833785859,1,-16.621724676831402,-77.63248422271387,39.243449353662804,42.68044709625299,0.7858921449795859,0.9285714285714286,0.6890962029686867,p0060/crdm/p0060_crdm_gain_model_fit.eps
61,p0061,CRDM,gain,1.0,0.8392857142857143,0.7428571428571429,1.0,112,0,0,0,18.844578434773144,8.0,-4.167,1.5717292289359668,1,-18.844578434773144,-77.63248422271388,43.68915686954629,47.126154612136474,0.7572591084331222,0.9196428571428571,0.6749591110924658,p0061/crdm/p0061_crdm_gain_model_fit.eps
62,p0062,CRDM,gain,1.0,0.8303571428571429,0.7285714285714285,1.0,112,0,0,0,19.339162514178305,8.0,-4.167,1.5606451400237926,1,-19.339162514178305,-77.63248422271388,44.67832502835661,48.1153227709468,0.7508882691593681,0.9107142857142857,0.6724255316860297,p0062/crdm/p0062_crdm_gain_model_fit.eps
63,p0063,CRDM,gain,1.0,0.8214285714285714,0.7142857142857143,1.0,112,0,0,0,20.441017142144567,8.0,-4.167,1.5368033648409463,1,-20.441017142144567,-77.63248422271387,46.88203428428913,50.31903202687932,0.7366950530205513,0.9017857142857143,0.6670705754272266,p0063/crdm/p0063_crdm_gain_model_fit.eps
