,subject,task,response_rate,percent_impulse,conf_1,conf_2,conf_3,conf_4,negLL,gamma,kappa,alpha,at_bound,LL,LL0,AIC,BIC,R2,softmax_accuracy,softmax_range,fig_fn
67,p0067,CDD,1.0,0.8928571428571429,112,0,0,0,0.007332521785050704,8.0,0.3391211640913514,1,1,-0.007332521785050704,-77.63248422271387,4.014665043570101,9.45166278616029,0.999905548278424,1.0,1.0,p0067/cdd/p0067_cdd_gain_model_fit.eps
68,p0068,CDD,1.0,0.9017857142857143,112,0,0,0,0.0048861711021577795,8.0,0.4018959303529525,1,1,-0.0048861711021577795,-77.63248422271388,4.009772342204315,9.446770084794505,0.9999370602248391,1.0,1.0,p0068/cdd/p0068_cdd_gain_model_fit.eps
69,p0069,CDD,1.0,0.9107142857142857,112,0,0,0,0.011185937443916863,8.0,0.4840078205583414,1,1,-0.011185937443916863,-77.63248422271387,4.022371874887834,9.459369617478021,0.999855911638589,1.0,1.0,p0069/cdd/p0069_cdd_gain_model_fit.eps
70,p0070,CDD,1.0,0.875,112,0,0,0,32.285621387950165,0.2030309155607732,0.8667262845459638,1,0,-32.285621387950165,-77.63248422271387,68.57124277590033,74.00824051849052,0.5841222690320147,0.9017857142857143,0.9254512569377753,p0070/cdd/p0070_cdd_gain_model_fit.eps
71,p0071,CDD,1.0,0.9196428571428571,112,0,0,0,15.874303656259954,0.3371229176661699,0.8779889579640556,1,0,-15.874303656259954,-77.63248422271387,35.74860731251991,41.185605055110095,0.7955198289066805,0.9464285714285714,0.9886517118135192,p0071/cdd/p0071_cdd_gain_model_fit.eps
72,p0072,CDD,1.0,0.9642857142857143,112,0,0,0,0.027471345464737507,8.0,1.0781820805180717,1,1,-0.027471345464737507,-77.63248422271387,4.054942690929475,9.491940433519662,0.9996461359476024,1.0,1.0,p0072/cdd/p0072_cdd_gain_model_fit.eps
73,p0073,CDD,1.0,0.9732142857142857,112,0,0,0,4.512756163599784,0.569476314195408,1.5831769409170096,1,0,-4.512756163599784,-77.63248422271388,13.025512327199568,18.462510069789758,0.9418702594824419,0.9910714285714286,0.9604346560316808,p0073/cdd/p0073_cdd_gain_model_fit.eps
74,p0074,CDD,1.0,0.9732142857142857,112,0,0,0,1.057240590329648e-05,8.0,1.2770355090768561,1,1,-1.057240590329648e-05,-77.63248422271388,4.000021144811806,9.437018887401996,0.9999998638146645,1.0,1.0,p0074/cdd/p0074_cdd_gain_model_fit.eps
75,p0075,CDD,1.0,0.9553571428571429,112,0,0,0,0.0015651304434713472,8.0,0.8777921675394903,1,1,-0.0015651304434713472,-77.63248422271387,4.003130260886943,9.440128003477131,0.9999798392327756,1.0,1.0,p0075/cdd/p0075_cdd_gain_model_fit.eps
76,p0076,CDD,1.0,0.9553571428571429,112,0,0,0,0.0015651304434713634,8.0,0.8777921654031396,1,1,-0.0015651304434713634,-77.63248422271387,4.003130260886943,9.440128003477131,0.9999798392327756,1.0,1.0,p0076/cdd/p0076_cdd_gain_model_fit.eps
77,p0077,CDD,1.0,0.9642857142857143,112,0,0,0,0.027471345464737524,8.0,1.0781820811984693,1,1,-0.027471345464737524,-77.63248422271387,4.054942690929475,9.491940433519664,0.9996461359476024,1.0,1.0,p0077/cdd/p0077_cdd_gain_model_fit.eps
78,p0078,CDD,1.0,0.9553571428571429,112,0,0,0,0.0015651304434713632,8.0,0.8777921663765691,1,1,-0.0015651304434713632,-77.63248422271387,4.003130260886943,9.440128003477131,0.9999798392327756,1.0,1.0,p0078/cdd/p0078_cdd_gain_model_fit.eps
79,p0079,CDD,1.0,0.9642857142857143,112,0,0,0,0.027471345464737517,8.0,1.078182080797242,1,1,-0.027471345464737517,-77.63248422271387,4.054942690929475,9.491940433519664,0.9996461359476024,1.0,1.0,p0079/cdd/p0079_cdd_gain_model_fit.eps
80,p0080,CDD,1.0,0.8839285714285714,112,0,0,0,34.77872917098013,0.1655111724336518,6.04800989634901,1,0,-34.77872917098013,-77.63248422271387,73.55745834196026,78.99445608455045,0.5520080347911307,0.8839285714285714,0.2676211738265952,p0080/cdd/p0080_cdd_gain_model_fit.eps
